team_a_ppg_dif_l4,team_b_ppg_dif_l4,team_a_shots_average,team_b_shots_average,predict_xg_overall_team_a,predict_xg_overall_team_b,position_a_prematch,position_b_prematch,predict_xg_home_team_a,predict_xg_away_team_b,Result
1.0,0.573333,10.28,9.69,2.12,1.5184,11,14,2.74138,1.57002,0
2.8,1.33333,9.47,11.66,1.335,2.3318,17,11,1.66774,2.23826,2
0.62,3.84,10.72,10.25,2.5498,2.0125,10,15,2.82766,1.31432,0
1.18286,1.568,13.94,15.5,1.265,2.2814,9,4,1.32033,1.8555,1
1.43,0.98,9.66,15.56,1.525,2.7136,8,3,1.72834,2.18498,1
0.405,1.08444,16.25,14.25,1.2584,1.6125,6,1,1.55444,1.49892,0
1.62,1.92,8.97,13.78,0.8784,2.3,16,5,1.02867,1.59629,1
2.44,1.58,10.79,9.06,1.6048,1.3943,14,17,2.01964,1.07998,0
0.553333,0.315556,9.7,10.76,1.751,2.4563,15,10,1.97899,1.94715,0
3.72,1.65333,10.33,10.42,1.6352,2.3072,16,11,1.9413,1.89905,0
0.83,0.982857,11.48,12.0,1.4896,3.2578,12,7,1.81004,2.4352,2
1.1,0.74,9.48,16.09,0.73,2.0732,13,6,0.721446,1.24031,1
0.772,0.571429,15.58,10.88,3.3649,1.6093,3,14,4.09374,1.65166,1
1.64,0.651429,13.97,13.73,2.6752,1.0192,1,9,3.13185,1.08188,0
1.62,1.22,14.11,10.67,3.5026,1.2765,3,11,5.04482,1.32934,0
8.16,0.933333,8.93,9.19,1.295,0.9879,13,15,1.54705,0.754922,0
0.553333,0.404444,11.11,16.96,0.9546,3.332,12,2,1.06902,2.80878,1
0.8,0.95,15.4,16.84,1.7136,1.7632,2,5,1.66967,1.17731,2
0.806667,0.526667,13.68,9.62,2.2655,1.431,8,14,2.45286,1.35241,2
1.42667,0.88,10.32,11.59,1.8857,1.911,10,11,2.41747,1.79501,2
4.56,1.13,9.47,10.94,1.406,2.5776,17,11,1.74299,2.1177,1
1.0,0.69,9.47,10.56,2.0768,1.6359,7,12,2.5981,1.50823,1
0.691429,1.2,10.76,9.47,1.944,1.5423,11,13,2.26092,1.49538,1
0.756,2.85333,15.97,10.29,2.94,0.8165,5,15,3.83758,0.658213,2
0.945,0.888889,11.79,14.06,1.6638,2.3326,6,1,1.8763,1.80057,1
3.6,0.888889,9.0,15.62,0.7526,2.4638,16,3,0.936297,2.00137,2
0.31,0.488889,17.21,14.35,2.6078,1.36,2,4,3.03172,0.860934,0
0.78,0.645714,10.79,15.47,1.4514,3.5226,9,4,1.57173,2.54699,1
0.706667,0.41,11.46,17.29,0.825,3.718,10,2,1.00297,2.78643,0
0.772,1.06286,15.77,10.89,3.104,1.4256,3,11,3.55476,1.30769,0
0.753333,1.94,11.09,10.49,2.0449,1.89,8,9,2.33651,1.47098,2
0.77,1.0,9.46,9.66,1.32,1.596,10,6,1.38269,1.10904,2
1.93,7.44,9.6,9.74,1.8231,1.4325,12,15,1.80165,1.04231,1
1.65,1.64,10.49,10.74,2.0664,1.9494,9,9,2.40499,1.60442,0
1.06,0.685714,10.31,11.77,1.2996,3.3687,13,5,1.74784,2.69862,0
0.515556,1.28,15.4,13.54,2.6664,1.344,3,7,3.30498,1.37821,2
0.686667,0.744,14.29,15.86,1.3968,1.74,4,4,1.75087,1.24994,0
0.502222,2.26,13.97,9.09,2.7993,0.6808,1,14,3.30899,0.58027,0
0.76,0.826667,14.2,14.36,1.2544,2.6784,9,3,1.03941,1.64344,1
1.69,1.17333,11.67,10.72,2.8724,1.2654,7,12,3.79839,1.0495,0
5.52,1.07556,9.69,14.17,1.0324,2.948,8,1,1.15879,2.43429,1
0.532,0.662857,16.0,10.56,3.3698,1.3462,3,9,4.15373,1.20013,0
1.25143,1.13,11.06,9.58,2.059,1.836,10,12,2.74197,1.69044,0
3.08,3.94,8.92,13.25,0.9144,1.4472,16,9,1.19978,1.37243,1
0.65,0.502857,9.83,10.31,1.4976,1.9608,17,14,1.78978,1.57386,1
0.904,0.8,10.58,14.17,1.2636,2.7936,11,5,1.49763,2.13375,1
1.1,0.94,10.75,9.83,2.4576,1.7,13,15,2.75516,1.58619,0
0.433333,1.12571,11.5,15.36,1.4625,3.2308,10,4,1.60111,2.46413,1
0.973333,1.38286,17.08,15.78,1.605,0.9372,2,6,1.84621,0.626509,0
0.972,1.26,13.41,10.74,3.6888,0.9028,1,10,4.67485,0.867166,0
1.05714,2.84,13.79,9.55,3.58,0.9559,5,18,4.43638,0.797085,0
1.05714,5.92,15.61,9.58,2.4257,1.2508,4,8,2.81806,1.02078,0
0.78,0.915,14.41,16.48,0.9758,1.9152,9,5,0.819928,1.18875,2
0.611429,0.703333,10.55,17.0,0.8308,3.4067,12,2,0.956666,2.46126,1
0.995556,1.73,14.08,11.73,2.22,1.914,5,7,3.10985,1.52551,0
1.09,1.384,9.73,11.49,1.734,1.7303,13,11,1.89353,1.29904,1
0.78,1.49333,14.3,9.86,3.7541,0.6536,1,17,4.31695,0.578288,0
0.91,0.835556,9.78,17.0,0.6596,4.2158,15,2,0.742901,3.21015,1
0.886667,0.3,10.51,11.3,2.2606,2.436,10,9,2.53985,1.84711,2
1.14286,3.0,15.57,9.03,2.7405,0.8249,4,16,3.32083,0.656602,0
1.09,0.726667,15.54,10.76,2.31,1.0744,6,12,3.14529,1.02987,0
1.872,2.36,13.22,10.51,1.6872,1.3716,8,12,1.63804,1.07827,1
